8/8/3q1kp1/KP6/7P/P7/8/8 w - - 1 46,-6.58
8/8/3q1kp1/KP6/P6P/8/8/8 b - - 0 46,-7.0
8/8/5kp1/KP6/P6P/8/3q4/8 w - - 1 47,-6.08
8/8/K4kp1/1P6/P6P/8/3q4/8 b - - 2 47,-6.29
8/4k3/K5p1/1P6/P6P/8/3q4/8 w - - 3 48,-6.61
8/4k3/K5p1/PP6/7P/8/3q4/8 b - - 0 48,-6.73
8/3k4/K5p1/PP6/7P/8/3q4/8 w - - 1 49,-7.54
8/3k4/KP4p1/P7/7P/8/3q4/8 b - - 0 49,-20
2k5/8/KP4p1/P7/7P/8/3q4/8 w - - 1 50,-6.58
2k5/8/1P4p1/PK6/7P/8/3q4/8 b - - 2 50,-6.83
